1	TableName	FieldName	FieldDescription	Unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	LegacyName	DataType	DataSize
319	WQStreamXSection_CALCULATED	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th						Text	8
320	WQStreamXSection_CALCULATED	SiteCode	Unique alphanumeric site code						Text	24
321	WQStreamXSection_CALCULATED	VisitDate	Date that the monitoring occured		YYYY-MM-DD				Date	
322	WQStreamXSection_CALCULATED	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"						Text	25
323	WQStreamXSection_CALCULATED	SampleFrame	"Type of hydrologic feature (e.g., lake, stream)"					SiteType	Text	25
324	WQStreamXSection_CALCULATED	pHFlag	"Data quality flag: No Flag, Information, Warning, Critical"						Text	5
325	WQStreamXSection_CALCULATED	DOFlag	"Data quality flag: No Flag, Information, Warning, Critical"						Text	5
326	WQStreamXSection_CALCULATED	SpCondFlag	"Data quality flag: No Flag, Information, Warning, Critical"						Text	5
327	WQStreamXSection_CALCULATED	TemperatureFlag	"Data quality flag: No Flag, Information, Warning, Critical"						Text	5
328	WQStreamXSection_CALCULATED	FlagNote	Description of data quality issue						Text	2000
329	WQStreamXSection_CALCULATED	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"						Text	20
330	WQStreamXSection_CALCULATED	TemperatureMedian_C	Median measured value of temperatue in celcius degrees	celsius					Decimal	2
331	WQStreamXSection_CALCULATED	TemperatureCount	Number of measurements taken	number					Integer	
332	WQStreamXSection_CALCULATED	pHMedian	Median measured value of pH	dimensionless					Decimal	16
333	WQStreamXSection_CALCULATED	pHCount	Number of measurements taken	number					Integer	
334	WQStreamXSection_CALCULATED	DOMedian_mg_per_L	Median measured value of DO in mg/L	milligramPerLiter					Decimal	16
335	WQStreamXSection_CALCULATED	DOmgLCount	Number of measurements taken	number					Integer	
336	WQStreamXSection_CALCULATED	SpCondMedian_microS_per_cm	Median measured value of specific conductance in uS/cm	microsiemensPerCentimeter					Decimal	16
337	WQStreamXSection_CALCULATED	SpCondCount	Number of measurements taken	number					Integer	
