tableName	attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	LegacyName	DataType	DataSize	Sort
WQStreamXSection	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character						Text	20	302
WQStreamXSection	Notes	Notes about the water quality cross section data	character						Memo	0	303
WQStreamXSection	TransectSide	"Left, center, or right of the channel"	character						Text	50	304
WQStreamXSection	pHInstrument	Name of instrument measuring  pH	character						Text	50	305
WQStreamXSection	pH	Measured value of pH	numeric	dimensionless					Decimal	16	306
WQStreamXSection	pHFlag	"pH data quality flag: No Flag, Information, Warning, Critical"	character					PH_DQF	Text	25	307
WQStreamXSection	DOInstrument	Name of instrument measuring DO	character						Text	50	308
WQStreamXSection	DissolvedOxygen_mg_per_L	Measured value of DO in mg/L	numeric	milligramPerLiter					Decimal	16	309
WQStreamXSection	DOFlag	"Dissolved Oxygen data quality flag: No Flag, Information, Warning, Critical"	character					DO_DQF	Text	25	310
WQStreamXSection	SpCondInstrument	Name of instrument measuring specific conductance	character						Text	50	311
WQStreamXSection	SpecificConductance_microS_per_cm	Measured value of specific conductance in uS/cm	numeric	microsiemensPerCentimeter					Decimal	16	312
WQStreamXSection	SpCondFlag	"Specific conductance data quality flag: No Flag, Information, Warning, Critical"	character					SpCond_DQF	Text	25	313
WQStreamXSection	TemperatureInstrument	Name of instrument measuring water temperature	character						Text	50	314
WQStreamXSection	WaterTemperature_C	Measured value of water temperature in C	numeric	celsius					Decimal	16	315
WQStreamXSection	TemperatureFlag	"Temperature data quality flag: No Flag, Information, Warning, Critical"	character					Temperature_DQF	Text	25	316
WQStreamXSection	FlagNote	Notes about the water quality cross section DQF	character					DataQualityFlagNote	Memo		317
WQStreamXSection_CALCULATED	Park	Four letter park code	character						Text	5	318
WQStreamXSection_CALCULATED	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character						Text	8	319
WQStreamXSection_CALCULATED	SiteCode	Unique alphanumeric site code	character						Text	24	320
WQStreamXSection_CALCULATED	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD				Date		321
WQStreamXSection_CALCULATED	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character						Text	25	322
WQStreamXSection_CALCULATED	SampleFrame	"Type of hydrologic feature (e.g., lake, stream)"	character					SiteType	Text	25	323
WQStreamXSection_CALCULATED	pHFlag	"Data quality flag: No Flag, Information, Warning, Critical"	character						Text	5	324
WQStreamXSection_CALCULATED	DOFlag	"Data quality flag: No Flag, Information, Warning, Critical"	character						Text	5	325
WQStreamXSection_CALCULATED	SpCondFlag	"Data quality flag: No Flag, Information, Warning, Critical"	character						Text	5	326
WQStreamXSection_CALCULATED	TemperatureFlag	"Data quality flag: No Flag, Information, Warning, Critical"	character						Text	5	327
WQStreamXSection_CALCULATED	FlagNote	Description of data quality issue	character						Text	2000	328
WQStreamXSection_CALCULATED	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character						Text	20	329
WQStreamXSection_CALCULATED	TemperatureMedian_C	Median measured value of temperatue in celcius degrees	numeric	celsius					Decimal	2	330
WQStreamXSection_CALCULATED	TemperatureCount	Number of measurements taken	numeric	number					Integer		331
WQStreamXSection_CALCULATED	pHMedian	Median measured value of pH	numeric	dimensionless					Decimal	16	332
WQStreamXSection_CALCULATED	pHCount	Number of measurements taken	numeric	number					Integer		333
WQStreamXSection_CALCULATED	DOMedian_mg_per_L	Median measured value of DO in mg/L	numeric	milligramPerLiter					Decimal	16	334
WQStreamXSection_CALCULATED	DOmgLCount	Number of measurements taken	numeric	number					Integer		335
WQStreamXSection_CALCULATED	SpCondMedian_microS_per_cm	Median measured value of specific conductance in uS/cm	numeric	microsiemensPerCentimeter					Decimal	16	336
WQStreamXSection_CALCULATED	SpCondCount	Number of measurements taken	numeric	number					Integer		337
